,Id,country_id,date,confirmed,deaths,recovered,active,Daily hospital occupancy
0,6232,AUS,2020-01-22,0,0,0,0,441.0
1,6233,AUS,2020-01-23,0,0,0,0,415.0
2,6234,AUS,2020-01-24,0,0,0,0,457.0
3,6235,AUS,2020-01-25,0,0,0,0,490.0
4,6236,AUS,2020-01-26,4,0,0,4,457.0
5,6237,AUS,2020-01-27,5,0,0,5,305.0
6,6238,AUS,2020-01-28,5,0,0,5,263.0
7,6239,AUS,2020-01-29,6,0,0,6,262.0
8,6240,AUS,2020-01-30,9,0,2,7,247.0
9,6241,AUS,2020-01-31,9,0,2,7,240.0
10,6242,AUS,2020-02-01,12,0,2,10,239.0
11,6243,AUS,2020-02-02,12,0,2,10,227.0
12,6244,AUS,2020-02-03,12,0,2,10,230.0
13,6245,AUS,2020-02-04,13,0,2,11,214.0
14,6246,AUS,2020-02-05,13,0,2,11,201.0
15,6247,AUS,2020-02-06,14,0,2,12,192.0
16,6248,AUS,2020-02-07,15,0,2,13,184.0
17,6249,AUS,2020-02-08,15,0,2,13,177.0
18,6250,AUS,2020-02-09,15,0,2,13,170.0
19,6251,AUS,2020-02-10,15,0,2,13,167.0
20,6252,AUS,2020-02-11,15,0,2,13,161.0
21,6253,AUS,2020-02-12,15,0,2,13,152.0
22,6254,AUS,2020-02-13,15,0,8,7,138.0
23,6255,AUS,2020-02-14,15,0,8,7,129.0
24,6256,AUS,2020-02-15,15,0,8,7,115.0
25,6257,AUS,2020-02-16,15,0,8,7,113.0
26,6258,AUS,2020-02-17,15,0,10,5,109.0
27,6259,AUS,2020-02-18,15,0,10,5,93.0
28,6260,AUS,2020-02-19,15,0,10,5,89.0
29,6261,AUS,2020-02-20,15,0,10,5,83.0
30,6262,AUS,2020-02-21,15,0,11,4,79.0
31,6263,AUS,2020-02-22,15,0,11,4,75.0
32,6264,AUS,2020-02-23,15,0,11,4,70.0
33,6265,AUS,2020-02-24,15,0,11,4,66.0
34,6266,AUS,2020-02-25,15,0,11,4,62.0
35,6267,AUS,2020-02-26,15,0,11,4,58.0
36,6268,AUS,2020-02-27,15,0,11,4,56.0
37,6269,AUS,2020-02-28,15,0,11,4,51.0
38,6270,AUS,2020-02-29,25,0,11,14,43.0
39,6271,AUS,2020-03-01,27,1,11,15,49.0
40,6272,AUS,2020-03-02,30,1,11,18,47.0
41,6273,AUS,2020-03-03,39,1,11,27,50.0
42,6274,AUS,2020-03-04,52,2,11,39,51.0
43,6275,AUS,2020-03-05,55,2,21,32,46.0
44,6276,AUS,2020-03-06,60,2,21,37,49.0
45,6277,AUS,2020-03-07,63,2,21,40,50.0
46,6278,AUS,2020-03-08,76,3,21,52,45.0
47,6279,AUS,2020-03-09,91,3,21,67,47.0
